formula,pubchemformula,name,CAS,hazard,NO3,element,nitride,oxide,NH4,dichromate,chloride,H2O,acetate,carbonate,chromate,hydroxide,oxalate,hydride,chlorate,acid,nitrite,peroxide
Tb2O3,,Terbium(III) oxide,12036-41-8,"['H335', 'H319', 'H315']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tl,Tl,Thallium,7440-28-0,"['H330', 'H413', 'H373', 'H300']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO3Tl2,CO3Tl2,Thallium(I) carbonate,6533-73-9,"['H330', 'H411', 'H373', 'H300']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NO3Tl,,Thallium(I) nitrate,10102-45-1,"['H330', 'H411', 'H373', 'H300']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3Tl2,O3Tl2,Thallium(III) oxide,1314-32-5,"['H330', 'H411', 'H373', 'H300']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3Tm2,,Thulium(III) oxide,12036-44-1,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sn,Sn,Tin,7440-31-5,[],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSn,OSn,Tin(II) oxide,21651-19-4,"['H372', 'H319', 'H317', 'H302']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2Sn,O2Sn,Tin(IV) oxide,18282-10-5,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ti,Ti,Titanium,7440-32-6,['H228'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3Ti2,O3Ti2,Titanium(III) oxide,1344-54-3,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TiO2,O2Ti,Titanium(IV) oxide,13463-67-7,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
